StopID,Route,DailyBoard
7215,16,9.72
7215,31,4.01
7215,37,2.52
7215,38,10.26
7219,35,0.33
7223,35,0.17
7223,39,3.34
7226,31,0.17
7230,32,0.54
7232,16,58.48
7232,31,1.17
7232,38,0.34
7233,33,0.17
7235,39,2
7243,35,4.51
7245,35,0.67
7248,33,0.83
7255,32,0.54
7255,35,0.5
7258,33,0.83
7260,38,0.5
7263,32,2.69
7263,33,0.33
7263,35,0.17
7272,38,1.18
7277,39,0.17
7302,31,1.17
7306,39,0.17
7310,32,1.98
7310,33,0.17
7313,32,1.08
7313,35,3
7319,33,1.67
7320,35,2
7324,39,1.84
7325,35,0.17
7326,33,1.83
7328,16,4.36
7328,38,5.55
7331,31,1.84
7331,39,8.51
7333,35,0.67
7341,38,0.34
7348,16,0.84
7351,31,1.34
7365,33,1.17
7369,32,0.18
7369,35,2.34
7374,39,3.84
7379,16,2.01
7379,31,1.17
7379,37,0.17
7379,38,6.89
7381,32,0.18
7384,38,1.18
7385,31,2.01
7388,16,4.02
7391,31,0.33
7391,39,2.34
7392,35,1
7398,30,1.17
7398,32,0.72
7398,33,2.33
7398,35,1.67
7398,39,1.17
7399,38,1.18
7410,35,1.5
7415,33,0.67
7416,35,0.33
7417,31,4.01
7417,39,5.01
7419,38,1.01
7443,33,0.33
7446,38,5.88
7447,33,3.83
7460,37,4.7
7460,38,6.05
7465,33,3.83
7466,38,3.19
7470,33,0.17
7471,35,0.17
7475,38,2.19
7479,32,1.44
7489,37,1.34
7492,33,0.67
7494,38,1.85
7499,31,1
7499,37,2.18
7507,35,0.17
7514,39,0.5
7526,33,7.83
7527,35,0.33
7531,33,0.17
7532,35,0.33
7538,37,0.67
7538,39,7.84
7540,32,0.36
7540,33,2.33
7540,35,0.17
7544,39,0.33
7547,33,0.33
7550,35,0.33
7558,35,1.5
7559,16,0.5
7559,39,0.17
7560,33,2.5
7567,38,3.53
7569,31,1.34
7578,16,4.69
7583,39,1.67
7587,33,4.83
7601,32,0.18
7601,35,0.83
7605,16,29.49
7605,31,3.84
7605,38,1.68
7608,35,3.34
7610,32,1.26
7617,31,0.33
7617,39,0.17
7619,35,0.17
7620,33,2.83
7624,32,0.18
7633,30,0.17
7633,33,0.5
7640,16,3.85
7661,35,0.17
7662,37,0.34
7663,16,1.01
7663,38,0.67
7668,31,1.34
7670,38,0.17
7670,39,0.17
7675,38,0.5
7679,38,3.19
7680,32,0.9
7680,35,2.67
7689,39,0.33
7694,16,0.34
7699,33,4
7706,39,0.83
7716,16,2.18
7717,33,0.67
7718,37,0.5
7718,38,4.37
7723,33,5
7729,16,3.69
7729,38,3.87
7733,33,3.17
7734,30,3.17
7734,32,2.16
7734,33,6.5
7734,35,4.67
7739,16,55.96
7739,31,13.87
7739,38,2.52
7745,16,0.34
7745,31,0.84
7745,38,4.88
7748,32,0.18
7748,33,2.17
7751,35,1
7758,38,2.35
7760,35,1.34
7762,32,0.9
7764,35,0.17
7766,32,0.18
7766,35,0.33
7778,33,2.5
7782,39,0.33
7792,35,0.17
7802,38,0.84
7812,32,0.18
7814,33,0.5
7815,39,6.84
7823,16,2.85
7825,32,0.18
7825,35,0.33
7829,38,4.71
7832,30,0.17
7832,32,0.18
7832,33,0.83
7834,16,12.4
7834,31,2.01
7836,32,0.9
7836,35,0.33
7838,16,4.52
7838,38,2.69
7840,32,1.8
7840,35,0.17
7843,37,0.5
7846,30,0.33
7846,32,1.44
7846,33,2.33
7846,35,0.67
7849,35,0.17
7852,35,0.67
7861,35,1.34
7861,39,2.84
7880,32,0.18
7888,16,1.17
7888,31,1.34
7892,33,0.17
7898,32,0.18
7906,32,0.9
7906,35,2.67
7907,33,0.17
7912,32,0.36
7912,35,1.34
7913,32,0.72
7916,35,4.01
7917,38,0.34
7919,35,5.17
7920,31,1.67
7925,32,4.49
7925,35,4.84
7926,38,1.35
7929,33,2.17
7933,35,2
7940,33,1
7943,32,0.72
7943,35,1.84
7944,33,1
7948,30,0.67
7948,33,1.33
7948,35,0.33
7955,31,0.33
7968,39,2
7969,35,4.01
7984,32,0.18
7987,39,4.34
7990,39,0.17
7991,32,0.72
7991,35,0.17
7996,31,0.17
8100,50,12.92
8100,51,1.83
8100,57,1.33
8101,51,3.33
8101,56,0.5
8118,50,1.68
8119,50,35.91
8119,58,0.33
8124,58,0.17
8131,50,20.98
8131,58,0.5
8134,56,0.17
8135,56,1.83
8137,56,1
8138,50,0.17
8138,51,0.5
8149,51,0.5
8149,56,4.17
8151,57,5.33
8152,58,0.33
8154,18,1.35
8155,56,1.83
8157,51,1
8157,56,2.67
8160,58,3.01
8163,56,3.17
8166,50,7.89
8173,18,0.34
8173,51,0.5
8173,56,3.33
8174,55,3.03
8180,58,3.51
8188,50,11.75
8191,58,0.33
8200,56,0.17
8207,57,3
8213,50,6.21
8213,58,0.33
8218,56,1
8224,51,0.17
8230,56,1.17
8235,50,17.96
8235,58,6.03
8236,58,0.17
8237,50,9.06
8237,58,4.35
8239,57,6.67
8241,50,0.67
8241,58,0.17
8246,55,1.18
8253,57,12.17
8259,56,0.17
8262,55,0.67
8263,56,1
8263,57,5.5
8274,50,0.84
8274,51,0.83
8281,50,27.52
8283,56,2.17
8297,51,2.5
8297,52,12.08
8301,50,30.38
8301,58,0.17
8304,56,0.33
8306,57,1
8308,56,0.17
8310,50,14.1
8313,58,0.17
8319,58,1.84
8323,57,4.5
8333,56,0.17
8341,51,0.67
8351,51,4.5
8352,50,14.94
8352,56,0.17
8363,51,3.33
8363,56,10
8375,56,4.5
8377,56,2.67
8378,58,0.17
8379,57,0.17
8384,55,6.56
8388,56,0.83
8401,51,1.67
8401,56,1.83
8405,57,4.67
8409,50,9.9
8418,18,0.51
8418,50,0.67
8418,51,0.83
8418,57,0.33
8427,50,1.01
8427,58,0.67
8428,52,2.85
8432,57,2.83
8439,55,0.17
8441,51,0.83
8441,56,0.33
8452,50,2.01
8452,51,0.17
8469,57,14.5
8471,58,4.35
8478,58,2.51
8480,51,0.83
8491,58,0.5
8496,58,5.02
8512,50,29.2
8512,56,0.67
8513,58,1.67
8519,57,2.67
8531,50,7.72
8548,58,0.33
8551,51,0.17
8551,56,1.17
8569,50,5.37
8572,51,1.33
8572,57,0.17
8580,57,0.83
8592,56,3.5
8594,56,0.33
8597,55,1.18
8604,18,0.34
8604,56,4
8605,18,3.55
8605,51,0.17
8605,56,2.17
8605,57,2.33
8614,51,0.17
8633,18,1.69
8633,51,0.33
8633,56,1.5
8633,57,2.33
8634,51,2
8634,57,0.33
8644,56,0.17
8644,57,2.67
8650,50,8.56
8661,18,0.34
8661,56,0.17
8664,51,4.83
8664,57,2.67
8675,57,5.5
8685,51,0.83
8690,55,10.43
8709,57,5
8712,50,35.58
8712,56,0.17
8714,51,1.83
8714,57,0.17
8721,56,0.17
8723,57,7.67
8728,55,3.7
8738,58,1.17
8739,51,5.33
8739,56,3.67
8745,57,5.17
8747,56,2.33
8751,56,0.33
8753,56,3.83
8755,58,1.84
8763,57,0.67
8769,50,19.13
8769,58,0.17
8776,56,5.5
8779,57,10
8796,50,2.69
8826,56,0.17
8829,51,1.33
8829,56,2.83
8839,58,0.17
8845,56,2.33
8845,57,0.17
8849,56,0.83
8855,51,1.17
8855,56,1
8857,57,2.83
8866,55,2.86
8868,56,0.33
8868,57,4
8869,56,2.5
8872,50,9.4
8872,51,1.17
8893,57,5
8915,58,2.68
8919,57,3.83
8927,55,0.67
8937,56,1.83
8941,57,4
8944,51,0.17
8953,55,2.02
8956,51,2.5
8958,51,0.33
8985,51,1.83
8985,56,1.67
9100,6,161.8
9100,34,31.43
9101,6,7.69
9101,34,19.16
9107,20,5.5
9113,26,2.53
9116,6,1.67
9118,26,0.17
9131,26,0.51
9132,6,7.35
9133,6,0.5
9134,6,17.22
9135,6,2.34
9135,20,0.17
9137,30,2.84
9140,36,4.17
9144,6,2.01
9147,25,0.33
9152,6,20.06
9153,6,3.18
9154,6,9.03
9161,6,0.5
9163,6,1.17
9163,26,1.69
9167,30,0.83
9168,20,1.67
9169,20,14.01
9171,6,2.17
9171,20,0.33
9171,34,4.37
9172,6,18.72
9173,26,0.17
9174,30,0.17
9174,33,5.5
9175,6,3.01
9175,20,0.33
9175,34,0.17
9176,30,2.34
9181,33,0.33
9182,6,1.5
9186,6,10.53
9192,20,4.67
9198,6,3.68
9200,20,27.02
9201,20,14.68
9203,34,0.34
9204,30,12.02
9207,6,2.67
9211,6,5.52
9220,20,11.68
9225,6,2.01
9226,6,2.01
9226,26,0.34
9231,20,0.33
9234,33,1.67
9237,6,5.35
9237,20,0.67
9237,34,2.35
9243,30,6.68
9252,6,1.84
9259,20,0.17
9264,26,0.34
9273,26,1.86
9274,17,16.85
9274,20,1.67
9276,30,6.84
9277,30,1.84
9282,6,3.18
9285,6,8.19
9288,34,1.18
9291,30,3
9300,26,2.53
9306,6,2.17
9306,20,0.17
9310,36,3.17
9313,6,1.5
9322,6,24.07
9322,20,0.67
9333,26,0.34
9339,6,9.36
9339,20,0.17
9340,20,0.33
9344,6,9.03
9349,26,0.17
9351,26,0.17
9351,36,0.33
9361,17,8.68
9364,6,15.21
9364,34,0.84
9370,30,10.51
9373,6,4.01
9373,20,0.67
9373,34,1.68
9378,6,2.51
9378,34,0.5
9381,20,0.17
9383,20,0.17
9388,30,1.5
9391,26,0.34
9391,36,0.67
9396,6,7.86
9405,6,2.17
9405,34,0.5
9412,26,0.51
9420,30,5.17
9432,30,0.83
9438,20,35.36
9439,30,2.84
9442,6,1.84
9463,6,1.34
9472,25,0.17
9472,26,2.36
9479,30,11.52
9480,6,0.17
9486,26,0.17
9488,20,1.83
9491,6,2.17
9493,20,3.84
9494,6,5.52
9498,26,4.05
9501,26,0.68
9520,6,0.33
9520,26,0.17
9524,20,1
9527,26,3.04
9531,30,13.85
9532,20,1
9545,6,33.93
9549,6,1.17
9551,6,6.02
9551,20,4.17
9552,6,38.95
9552,25,0.83
9554,6,35.94
9554,20,13.18
9554,25,3.33
9562,20,3.67
9564,34,1.68
9566,6,8.36
9568,33,0.5
9573,6,8.69
9573,20,7.01
9581,26,0.51
9587,6,2.51
9588,6,6.35
9588,25,1
9591,30,1.17
9604,33,3.33
9615,26,0.17
9620,36,2
9629,30,1.84
9630,25,0.83
9633,6,3.84
9636,30,2.67
9642,6,17.72
9642,20,0.5
9642,34,3.03
9645,30,0.83
9651,26,2.2
9652,30,6.51
9652,33,28.5
9666,20,1.17
9670,6,0.33
9675,20,9.51
9677,6,0.67
9677,20,2.17
9677,30,0.33
9685,20,2.67
9693,34,0.5
9701,26,0.51
9715,6,0.5
9717,26,0.34
9719,20,0.83
9719,30,0.83
9720,26,0.68
9723,6,0.67
9724,20,2.17
9725,6,2.17
9725,34,0.5
9729,20,0.17
9733,30,0.67
9740,17,7.67
9744,26,3.55
9745,30,1.5
9747,26,0.51
9750,6,15.04
9753,30,10.68
9759,6,1.84
9770,30,12.35
9778,30,0.5
9783,26,1.35
9783,36,0.5
9785,33,9.5
9787,6,0.33
9787,34,1.01
9790,20,3.67
9797,6,2.01
9799,26,1.86
9802,34,0.34
9810,6,34.27
9811,30,1.67
9812,30,23.53
9817,20,1.83
9822,26,1.69
9826,26,1.35
9829,26,2.03
9837,17,5.51
9837,20,0.17
9842,6,0.84
9844,30,5.67
9847,20,0.33
9857,6,5.68
9863,36,0.5
9874,6,16.88
9874,20,5.17
9880,30,4.34
9880,33,8.83
9892,30,11.52
9897,6,1.67
9900,25,6.33
9901,26,3.21
9917,36,0.17
9918,6,4.18
9918,34,0.34
9928,26,0.17
9928,36,0.17
9939,6,0.67
9951,30,2
9957,26,3.88
9967,30,9.01
9975,6,2.67
9977,6,5.35
9984,6,8.86
9984,20,4.67
9993,6,1.17
9996,20,7.01
9996,30,9.18
4100,4,189.84
4100,5,210.71
4100,13,79.5
4100,16,185.31
4100,18,299.38
4100,40,258.62
4100,44,18.51
4100,48,5.67
4100,49,13.83
5100,2,192.14
5100,4,208.64
5100,17,131.97
5100,20,143.61
5100,21,206.33
5100,22,241.73
5100,27,28.17
5100,28,158.23
5100,56,3.83
5100,57,10
6100,2,217.87
6100,3,51.99
6100,6,249.05
6100,11,14.5
6100,12,3.84
6100,18,302.25
6100,28,13.67
6100,50,241.83
6100,51,52.5
6100,52,55.88
6100,55,41.2
6100,56,29.33
6100,57,54.33
6100,67,231.18
6100,73,153.08
7100,3,117.35
7100,5,160
7100,14,55.52
7100,15,33.61
7100,16,181.12
7100,17,123.47
7100,30,173.57
7100,31,36.6
7100,32,28.21
7100,33,45.83
7100,34,46.89
7100,35,26.88
7100,39,70.59
9800,6,134.39
9800,20,72.39
9800,26,43.57
9800,30,104.81
9800,36,19.83
5,80,336.7
10,80,922.47
10,81,180.06
10,82,86
25,81,17.51
39,80,721.65
45,81,0.17
47,27,5.33
49,80,650.21
49,81,12.34
49,82,10.33
52,80,302.15
52,81,15.17
53,81,9.17
56,81,2.67
60,80,100.83
60,81,13.17
61,80,178.95
68,82,8.17
70,82,2.67
73,80,184.96
77,80,330.86
87,1,9.37
87,10,31.38
87,19,19.75
87,38,44.05
87,82,12.5
89,81,3.33
96,81,0.33
99,81,23.34
99,82,43.83
100,1,11.54
100,2,229.74
100,3,131.39
100,4,78.39
100,10,279.6
100,11,11
100,12,2.67
100,13,84.33
100,14,82.7
100,15,151.74
100,19,58.08
100,27,2
100,28,30.85
100,29,0.91
100,37,14.6
100,38,35.98
100,48,0.83
100,56,21.83
100,57,21.67
100,58,31.8
100,70,44.77
100,71,43.9
100,72,53.46
104,4,84.1
104,27,0.67
104,44,24.18
107,5,16.57
107,13,7.17
107,44,6.84
113,5,24.27
113,47,1
115,6,49.31
115,13,2
115,47,0.33
121,4,4.36
121,18,0.34
121,40,1.5
124,5,4.69
124,44,1.5
133,1,3.18
133,2,50.29
133,3,34.77
133,10,32.88
133,12,0.83
133,19,13.06
133,29,3.46
133,37,5.87
133,58,5.02
133,82,8.67
146,4,0.34
146,47,0.5
147,13,4.17
147,44,0.5
150,13,21.33
153,13,5.17
158,4,1.34
158,44,0.33
160,1,1.17
160,2,133.66
160,3,46.97
160,10,197.97
160,12,1
160,14,70.69
160,15,144.51
160,19,35.32
160,37,4.36
160,48,0.17
160,56,28.67
160,57,22.67
160,58,15.73
160,70,32.41
160,71,30.22
160,72,40.18
161,1,29.1
161,10,90.31
161,19,41.34
161,38,115.85
161,82,4.83
162,13,3.17
162,47,1.67
162,48,0.17
166,13,4.83
167,4,44.48
167,44,34.85
168,5,9.54
168,27,0.5
168,47,0.67
168,75,10.55
170,4,4.36
170,47,0.33
171,13,8.5
173,4,1.68
173,18,0.68
173,40,1.34
174,5,0.84
174,13,1.5
174,44,0.17
178,1,4.01
178,2,214.36
178,3,87.76
178,10,277.93
178,12,0.33
178,14,86.2
178,15,169.72
178,19,51.55
178,37,11.91
178,48,1.67
178,56,40.67
178,57,31.67
178,58,34.14
178,70,34.58
178,71,35.96
178,72,40.86
180,6,24.07
180,13,36
180,47,7.85
180,48,0.33
180,82,8.5
181,5,16.4
181,48,1
184,11,7
184,28,3.33
184,38,5.55
184,44,1.17
184,80,211.34
190,4,34.75
190,44,12.84
192,13,16.67
192,44,13
195,5,18.24
195,44,3.5
203,11,5
203,13,13.5
208,6,31.93
208,82,4.83
217,13,12.17
217,47,2.67
222,13,6.5
225,5,7.53
235,5,8.37
235,27,1.83
243,11,0.5
243,12,31.03
243,13,10.67
248,1,1
248,11,0.17
248,12,8.68
248,19,12.55
248,38,12.11
251,5,20.59
251,13,5.83
251,47,3.68
251,48,1.5
251,75,2.35
252,2,60.65
252,3,52.16
252,4,26.69
252,6,30.25
252,11,1.83
252,12,3.34
252,14,31.84
252,15,26.38
252,29,0.36
252,37,2.35
252,47,4.68
252,56,2
252,57,3.17
252,58,2.85
252,70,17.37
252,71,6.92
252,72,5.96
256,4,44.31
256,13,29.67
265,4,96.85
265,6,154.11
265,29,5.29
266,4,1.68
266,47,0.17
271,27,3.33
273,27,2.5
274,5,24.44
274,27,1.33
274,47,1.34
274,75,32
288,4,8.06
288,5,12.89
288,13,6
288,44,1.17
288,47,4.34
288,48,0.17
288,75,15.58
289,13,2.67
294,13,3.5
298,11,1.5
298,28,36.85
298,38,36.15
298,44,18.01
298,80,96.15
300,4,27.86
300,44,15.01
313,10,8.35
313,19,2.34
313,38,2.02
313,82,2.17
320,13,6
327,6,42.12
327,27,5.67
336,80,476.59
341,82,15
346,13,16.33
349,3,43.8
349,58,3.51
349,82,12.17
353,4,3.36
353,18,0.51
353,40,2.84
353,49,1.33
357,44,2.67
360,5,5.19
367,13,1.83
375,4,63.45
375,44,28.18
379,11,0.33
388,6,8.52
388,13,9.33
388,47,1
388,82,2.67
391,4,28.2
391,47,3.34
392,4,7.55
392,27,2.5
392,44,5
398,6,23.23
398,82,12.83
405,4,17.79
405,47,1.17
406,6,20.39
410,13,2.83
418,5,13.22
418,27,5.17
418,47,0.33
418,75,14.07
424,13,5.83
433,44,6.5
435,1,2.34
435,2,28.74
435,3,25.24
435,10,28.71
435,11,0.33
435,12,2.17
435,14,11
435,15,10.08
435,19,3.85
435,28,41.35
435,37,3.69
435,38,28.25
435,47,0.17
435,56,0.5
435,57,0.33
435,58,0.67
435,70,4.84
435,71,1.01
435,72,1.02
438,11,2.17
438,27,17.5
438,28,140.73
438,38,109.63
438,44,31.68
438,80,453.22
441,4,19.3
441,44,1
445,4,12.76
445,44,9.17
454,3,1.34
454,58,0.67
455,1,5.52
455,2,81.54
455,3,82.25
455,4,36.09
455,6,76.05
455,10,70.44
455,11,1.83
455,12,12.35
455,13,5.33
455,14,26.51
455,15,37.81
455,19,12.89
455,27,0.17
455,28,106.21
455,29,3.65
455,37,3.36
455,38,68.26
455,47,2.17
455,56,2
455,57,0.5
455,58,2.68
455,70,7.35
455,71,2.7
455,72,4.26
456,4,4.7
456,47,0.84
459,4,3.19
459,44,0.17
465,13,0.33
469,5,12.38
469,27,3.83
469,47,0.33
469,75,0.67
470,1,0.17
470,10,1.5
470,19,1.67
470,38,4.37
473,5,4.52
473,27,0.5
473,47,0.17
473,75,0.67
475,5,50.04
475,13,15
475,44,10.34
475,48,2.33
480,10,45.4
480,27,0.67
480,28,46.52
480,81,3.5
483,6,15.38
483,13,1
488,11,24.17
488,28,5
488,38,6.89
488,44,1.67
488,80,535.69
488,84,53.67
490,11,2.17
490,27,6.33
490,28,92.87
490,38,42.2
490,44,4.17
496,13,2.83
499,4,24.67
499,47,3.01
499,75,3.02
505,4,16.79
505,6,26.58
505,29,0.55
506,4,60.6
506,6,70.54
506,29,0.55
506,81,11.84
506,82,26.17
512,5,7.53
512,27,5.5
512,47,0.33
512,75,9.05
516,5,3.18
519,4,26.19
519,5,13.22
519,13,9.67
519,44,13.17
519,47,3.34
520,10,2.34
520,19,1.67
520,38,4.04
520,82,2.67
522,13,5.33
530,4,2.69
530,47,0.5
532,11,9.83
532,28,4.17
532,38,3.53
532,44,0.33
532,80,131.54
532,84,53.5
533,6,58.67
536,4,0.5
538,6,152.77
538,47,37.42
538,82,7.17
542,3,20.9
542,58,9.04
544,11,7.83
544,12,0.67
546,13,13.17
546,47,6.18
548,6,81.74
548,82,1.17
549,4,15.44
549,6,26.08
549,29,0.73
558,82,4.17
561,6,9.86
561,48,1
564,1,3.18
564,11,1.67
564,12,0.33
564,19,5.52
564,38,15.8
565,13,13
567,10,6.51
567,27,0.17
567,28,10.67
568,1,35.79
568,2,214.87
568,3,164.33
568,10,400.62
568,11,11.17
568,12,10.34
568,13,24.17
568,14,116.37
568,15,93.26
568,19,58.42
568,27,1.67
568,28,114.88
568,37,11.91
568,38,134.85
568,47,12.36
568,56,13.17
568,57,8.17
568,58,15.4
568,70,57.46
568,71,22.96
568,72,23.33
570,44,0.17
573,11,1.33
573,27,11.5
573,28,81.03
573,38,71.63
573,44,22.51
573,80,157.42
573,81,33.85
581,1,9.2
581,2,141.35
581,3,119.36
581,10,145.22
581,12,16.35
581,14,50.85
581,15,48.23
581,19,37.33
581,29,6.38
581,37,4.53
581,48,0.5
581,56,1.17
581,57,1.67
581,58,2.85
581,70,42.43
581,71,7.94
581,72,9.7
581,82,18.17
582,5,2.18
582,44,0.17
583,6,42.46
590,4,31.89
590,40,2.84
593,1,14.72
593,10,54.25
593,19,20.25
593,38,81.88
593,82,5
597,10,2.17
597,28,5.17
597,81,0.33
602,13,3.67
608,27,1.83
614,13,7.83
614,44,8.5
619,13,2.83
621,11,0.17
621,12,18.69
624,4,4.2
624,44,1.67
633,5,15.73
633,47,1
643,13,9.5
650,12,0.33
668,1,1.67
668,12,0.33
668,19,3.01
668,38,5.04
674,13,7.67
688,4,16.11
688,6,29.25
688,29,0.73
688,81,12
692,2,68.34
692,10,60.59
692,19,11.72
692,37,3.19
692,48,1.17
